uid,organoid
TC008_090B,TSCp5_32s
TC008_215D,TSCp5_32s
TC008_319F,TSCp5_32s
TC008_330F,TSCp5_32s
TC008_335G,TSCp5_32s
TC008_336G,TSCp5_32s
TC008_340G,TSCp5_32s
TC059_033B,TSCp24_4
TC059_085B,TSCp24_4
TC059_086B,TSCp24_4
TC059_055C,TSCp24_4
TC059_058C,TSCp24_4
TC059_069D,TSCp24_4
TC059_078D,TSCp24_4
TC002_001D,TSCp5_32s
TC002_004D,TSCp5_32s
TC002_005D,TSCp5_32s
TC074_001A,TSCp24_4
TC074_015C,TSCp24_4
TC074_007B,TSCp24_4
TC074_035B,TSCp24_4
TC074_011B,TSCp24_4
TC074_014B,TSCp24_4
TC074_015C,TSCp24_4
TC074_017C,TSCp24_4
TC074_031D,TSCp24_4
TC030_111A,TSCp5_30s
TC030_118A,TSCp5_30s
TC030_112A,TSCp5_30s
TC030_117B,TSCp5_30s
TC030_105D,TSCp5_30s
TC055_000A,TSCp5_30s_CHIR
TC055_029D,TSCp5_30s_CHIR
TC055_028D,TSCp5_30s_CHIR
TC055_030D,TSCp5_30s_CHIR
TC068_035C,TSCp5_30s
TC068_053C,TSCp5_30s
TC068_109D,TSCp5_30s
TC038A_043A,TSCp5_30s
TC038A_013B,TSCp5_30s
TC038A_045C,TSCp5_30s
TC038A_046C,TSCp5_30s
TC028_003B,TSCp5_32s
TC028_005C,TSCp5_32s
TC028_015C,TSCp5_32s
TC028_009C,TSCp5_32s
TC028_011D,TSCp5_32s
TC018_008A,TSCp5_30s
TC018_048B,TSCp5_30s
TC018_049C,TSCp5_30s
TC018_050C,TSCp5_30s
TC018_032C,TSCp5_30s
TC018_051D,TSCp5_30s
TC054_020A,TSCp5_32s_CHIR
TC054_007A,TSCp5_32s_CHIR
TC054_011B,TSCp5_32s_CHIR
TC054_021C,TSCp5_32s_CHIR
TC073_002A,TSCp24_4
TC073_018A,TSCp24_4
TC073_028A,TSCp24_4
TC073_080C,TSCp24_4
TC071_064B,TSCp24_4
TC071_062B,TSCp24_4
TC049_002A,TSCp5_32s_CHIR
TC049_038B,TSCp5_32s_CHIR
TC049_040B,TSCp5_32s_CHIR
TC049_014C,TSCp5_32s_CHIR
TC049_046C,TSCp5_32s_CHIR
TC049_045D,TSCp5_32s_CHIR
TC065_000A,TSCp5_32s
TC065_264A,TSCp5_32s
TC065_093B,TSCp5_32s
TC065_227D,TSCp5_32s
TC075_000A,TSCp24_4
TC075_012B,TSCp24_4
TC075_006B,TSCp24_4
TC075_011D,TSCp24_4
TC069_121A,TSCp24_4_R2C4
TC006_080A,TSCp5_32s
TC006_084C,TSCp5_32s
TC006_082C,TSCp5_32s
TC020_018C,TSCp5_32s
TC050e1r2_059A,TSCp5_32s_CHIR
TC050e1r2_022B,TSCp5_32s_CHIR
TC050e1r2_051C,TSCp5_32s_CHIR
TC050e1r2_057D,TSCp5_32s_CHIR
TC012_428A,TSCp5_32s
TC012_416A,TSCp5_32s
TC012_046A,TSCp5_32s
TC012_423B,TSCp5_32s
TC012_137C,TSCp5_32s
TC012_430C,TSCp5_32s
TC012_154C,TSCp5_32s
TC012_431D,TSCp5_32s
TC012_432D,TSCp5_32s
TC012_284E,TSCp5_32s
TC012_308F,TSCp5_32s
TC012_309F,TSCp5_32s
TC012_317F,TSCp5_32s
TC012_364G,TSCp5_32s
TC058_007A,TSCp24_4_R2C4
TC058_008A,TSCp24_4_R2C4
TC058_132A,TSCp24_4_R2C4
TC058_036B,TSCp24_4_R2C4
TC058_059B,TSCp24_4_R2C4
TC058_127C,TSCp24_4_R2C4
TC058_128C,TSCp24_4_R2C4
TC058_101D,TSCp24_4_R2C4
TC058_133D,TSCp24_4_R2C4
TC058_112D,TSCp24_4_R2C4
TC035_053A,TSCp5_32s
TC035_049B,TSCp5_32s
TC035_024B,TSCp5_32s
TC051e1r1_049A,TSCp5_32s_CHIR
TC051e1r1_048B,TSCp5_32s_CHIR
TC050_089A,TSCp5_32s_CHIR
TC050_024A,TSCp5_32s_CHIR
TC050_061D,TSCp5_32s_CHIR
TC050_086D,TSCp5_32s_CHIR
TC053_094A,TSCp5_32s
TC053_018B,TSCp5_32s
TC053_090B,TSCp5_32s
TC053_055B,TSCp5_32s
TC053_058B,TSCp5_32s
TC053_065C,TSCp5_32s
TC053_092C,TSCp5_32s
TC053_083D,TSCp5_32s
TC057_010A,TSCp24_4
TC057_007A,TSCp24_4
TC057_021A,TSCp24_4
TC057_045B,TSCp24_4
TC057_049B,TSCp24_4
TC057_056B,TSCp24_4
TC057_119D,TSCp24_4
TC057_145D,TSCp24_4
TC033_020B,TSCp5_30s
TC033_023B,TSCp5_30s
TC033_021B,TSCp5_30s
TC033_104C,TSCp5_30s
TC033_044C,TSCp5_30s
TC033_045C,TSCp5_30s
TC033_107C,TSCp5_30s
TC033_054C,TSCp5_30s
TC033_057C,TSCp5_30s
TC033_058C,TSCp5_30s
TC033_061D,TSCp5_30s
TC033_069D,TSCp5_30s
TC033_109E,TSCp5_30s
TC033_105E,TSCp5_30s
TC044e1r2_018A,TSCp5_32s_CHIR
TC044e1r2_010B,TSCp5_32s_CHIR
TC021_006C,TSCp5_30s
AP001e3r1_037B,AP_drug
AP001e3r1_038B,AP_drug
AP001e3r1_135C,AP_drug
AP001e3r1_131D,AP_drug
AP027_169B,AP_drug
AP027_014C,AP_drug
AP027_015C,AP_drug
AP027_168D,AP_drug
AP027_170D,AP_drug
AP027_029D,AP_drug
AP027_171D,AP_drug
AP027_172D,AP_drug
AP027_099G,AP_drug
AP018_002A,AP_drug
AP018_003A,AP_drug
AP018_125B,AP_drug
AP018_009B,AP_drug
AP018_011C,AP_drug
AP018_020C,AP_drug
AP018_038D,AP_drug
AP018_042D,AP_drug
AP018_056D,AP_drug
AP018_073F,AP_drug
AP018_075F,AP_drug
AP018_121G,AP_drug
AP018_076G,AP_drug
AP018_083H,AP_drug
AP018_097J,AP_drug
AP018_101J,AP_drug
AP018_111L,AP_drug
AP014A_140C,AP_drug
AP008_000C,AP_drug
AP008_001D,AP_drug
AP008_005D,AP_drug
AP008_007D,AP_drug
AP031_027F,AP_ctrl
AP031_037H,AP_ctrl
AP031_038H,AP_ctrl
AP032_005B,AP_drug
AP032_013C,AP_drug
AP032_103C,AP_drug
AP032_019C,AP_drug
AP032_101C,AP_drug
AP032_028C,AP_drug
AP032_029D,AP_drug
AP032_030D,AP_drug
AP032_102D,AP_drug
AP032_058E,AP_drug
AP032_063E,AP_drug
AP032_099E,AP_drug
AP032_067E,AP_drug
AP032_073F,AP_drug
AP032_083G,AP_drug
AP032_085G,AP_drug
AP032_088H,AP_drug
AP032_091H,AP_drug
AP032_093H,AP_drug
AP020_096A,AP_ctrl
AP020_012A,AP_ctrl
AP020_018B,AP_ctrl
AP020_020B,AP_ctrl
AP020_022B,AP_ctrl
AP020_023B,AP_ctrl
AP020_101E,AP_ctrl
AP020_102F,AP_ctrl
AP020_066G,AP_ctrl
AP026_025E,AP_ctrl
AP026_087E,AP_ctrl
AP026_088E,AP_ctrl
AP026_041E,AP_ctrl
AP026_085F,AP_ctrl
AP026_061F,AP_ctrl
AP026_071H,AP_ctrl
AP026_073H,AP_ctrl
AP026_084H,AP_ctrl
AP033_048D,AP_ctrl
AP033_044D,AP_ctrl
AP033_008E,AP_ctrl
AP033_040G,AP_ctrl
AP015_064H,AP_drug
AP015_071H,AP_drug
AP015_080H,AP_drug
AP015_082H,AP_drug
AP000_010B,AP_drug
AP000_030D,AP_drug
AP022_055D,AP_drug
AP022_057D,AP_drug
AP022_111H,AP_drug
AP022_113H,AP_drug
AP022_115H,AP_drug
AP011_035A,AP_ctrl
AP011_042A,AP_ctrl
AP011_136A,AP_ctrl
AP011_052A,AP_ctrl
AP011_053B,AP_ctrl
AP011_057B,AP_ctrl
AP011_138B,AP_ctrl
AP011_067B,AP_ctrl
AP011_139D,AP_ctrl
AP011_127E,AP_ctrl
AP011_137E,AP_ctrl
AP011_129F,AP_ctrl
AP011_130F,AP_ctrl
AP011_107F,AP_ctrl
AP011_110G,AP_ctrl
AP030_001A,AP_drug
AP030_005B,AP_drug
AP030_010C,AP_drug
AP030_087C,AP_drug
AP030_013D,AP_drug
AP030_015D,AP_drug
AP030_017D,AP_drug
AP030_020E,AP_drug
AP030_022E,AP_drug
AP030_029E,AP_drug
AP030_092E,AP_drug
AP030_091E,AP_drug
